url,event_id,article_id,shooter_name,killed_num,wounded_num,city,title
http://sanfrancisco.cbslocal.com/2013/01/12/3-young-men-teenage-boy-murdered-on-oakland-streets-in-6-hours-no-arrests/,0,0,Carlito Montoya,4,0,Sacramento,Oakland Police Link 4 Recent Murders To Several Rival Groups « CBS San Francisco
http://hinterlandgazette.com/2013/01/oakland-gun-violence-ken-harbin-larry-lovette-eddiebo-rodriguez-4-killed-6hour-span.html,0,1,Carlito Montoya,4,0,Sacramento,"Oakland Gun Violence: Ken Harbin, Larry Lovette & Eddiebo Rodriguez Among 4 Killed in 6-Hour Span"
http://losangeles.cbslocal.com/2013/01/01/man-killed-3-wounded-at-nye-party-in-hawthorne/,1,2,Unknown,1,3,Hawthorne,"Man Killed, 3 Wounded At NYE Party In Hawthorne « CBS Los Angeles"
http://latimesblogs.latimes.com/lanow/2013/01/hawthorne-new-year-party-three-killed.html,1,3,Unknown,1,3,Hawthorne,"One killed, 3 injured in Hawthorne New Year's Eve party shooting"
http://pittsburgh.cbslocal.com/2013/01/01/4-people-shot-in-mckeesport/,2,4,Julian Sims,0,4,McKeesport,4 Shot At McKeesport New Year’s Eve Party « CBS Pittsburgh
http://www.wtae.com/news/local/allegheny/U-S-Marshals-task-force-arrests-New-Year-s-party-shooting-suspect/-/10927008/17977588/-/1ydqtj/-/index.html,2,5,Julian Sims,0,4,McKeesport,U.S. Marshals task force arrests New Year’s party shooting suspect
http://www.19actionnews.com/story/20494559/31-year-old-man-charged-with-new-years-day-murder-at-lorain-gas-station,3,6,"Desmen Noble, Damian Bell",1,4,Lorain,Desmen Deupree Noble charged with gas station murder - Cleveland 19 News
http://chronicle.northcoastnow.com/2013/02/14/2-men-indicted-in-new-years-day-lorain-murder/,3,7,"Desmen Noble, Damian Bell",1,4,Lorain,2 men indicted in New Year's Day Lorain murder
http://morningjournal.com/articles/2013/02/22/news/cops_and_courts/doc5126fa31928a4356439484.txt,3,8,"Desmen Noble, Damian Bell",1,4,Lorain,Lorain man pleads innocent to New Year's murder
http://www.dailydemocrat.com/ci_22322664/aurora-shooter-was-frenetic-talented-neighbor-says,4,9,Sonny Archuleta,4,0,Aurora,"Aurora shootout killer was frenetic, talented, neighbor says"
